id;processo;0
592;0800326-83.2019.8.10.0008;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Liquidação / Cumprimento / Execução (9148)  -  Causas Supervenientes à Sentença (9517"
593;8000221-81.2019.8.05.0124;"DIREITO CIVIL - Responsabilidade Civil - Indenização por Dano Material"
594;8000221-81.2019.8.05.0124;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
595;8001135-29.2019.8.05.0001;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
596;8001116-23.2019.8.05.0001;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
597;0802952-94.2019.8.10.0034;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Objetos de cartas precatórias/de ordem (11781)  -  Intimação (11782"
598;8000326-84.2019.8.05.0277;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Processo e Procedimento - Antecipação de Tutela / Tutela Específica"
599;0800074-72.2019.8.14.0007;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Objetos de cartas precatórias/de ordem (11781)  -  Intimação (11782"
600;0800531-95.2019.8.14.0301;"DIREITO TRIBUTÁRIO (14)  -  Dívida Ativa (6017"
601;8001335-15.2019.8.05.0032;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Objetos de cartas precatórias/de ordem - Citação"
602;0000302-91.2018.8.10.0083;"DIREITO CIVIL (899)  -  Pessoas Jurídicas (9981)  -  Associação (4897)  -  Assembléia (4899"
603;0003287-64.2014.4.01.3702;"10445 - Esbulho Turbação Ameaça"
604;0001635-08.2016.4.01.4004;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
605;0000671-10.2019.4.01.4004;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
606;0001641-47.2018.4.01.3906;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
607;5084947-94.2017.8.13.0024;"DIREITO CIVIL|Empresas|Sociedade|Dissolução|"
608;0002640-76.2018.4.01.3816;"DIREITO TRIBUTÁRIO (14)  -  Dívida Ativa (6017)  -  Ausência de Cobrança Administrativa Prévia (10887"
609;0002640-76.2018.4.01.3816;"DIREITO TRIBUTÁRIO (14)  -  Impostos (5916"
610;0021683-68.2013.4.01.3300;"DIREITO CIVIL (899)  -  Responsabilidade Civil (10431)  -  Dano Ambiental (10438"
611;8000644-54.2017.8.05.0110;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Liquidação / Cumprimento / Execução (9148)  -  Obrigação de Entregar (10670)  -  Obrigação de Fazer / Não Faze"
612;8000390-39.2017.8.05.0027;"DIREITO CIVIL - Coisas - Posse - Esbulho / Turbação / Ameaça"
613;0000607-17.2019.8.11.0082;"Crimes contra o Meio Ambiente e o Patrimônio Genético"
614;1001489-52.2017.4.01.3700;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) | Processo e Procedimento (8960) | Antecipação de Tutela / Tutela Específica"
615;0001209-55.2017.4.01.3100;"10448 - Propriedade"
616;0800227-38.2019.8.18.0058;"Água e/ou Esgoto"
617;0002141-36.2016.4.01.3825;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
618;0001035-29.2016.4.01.3505;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
619;0001959-77.2016.4.01.3816;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
620;0002966-62.2016.8.10.0052;"DIREITO TRIBUTÁRIO (14)  -  Dívida Ativa (6017)  -  Ausência de Cobrança Administrativa Prévia (10887"
621;0000377-75.2016.4.01.3902;"10110 - Meio Ambiente"
622;0002139-44.2016.4.01.3315;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
623;0004203-76.2016.4.01.3816;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
624;0002138-59.2016.4.01.3315;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
625;0002136-89.2016.4.01.3315;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
626;0003809-69.2016.4.01.3816;"10455 - Aquisição"
627;0037575-69.2013.4.01.3800;"10445 - Esbulho Turbação Ameaça"
628;0053390-09.2013.4.01.3800;"10445 - Esbulho Turbação Ameaça"
629;0002666-93.2016.4.01.3315;"10088 - Domínio Público"
630;0000377-75.2016.4.01.3902;"10110 - Meio Ambiente"
631;0007166-08.2015.4.01.3100;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
632;0011996-51.2014.8.10.0001;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Processo e Procedimento (8960)  -  Antecipação de Tutela / Tutela Específica (8961"
633;0007890-07.2015.4.01.3813;"DIREITO CIVIL (899)  -  Responsabilidade Civil (10431)  -  Dano Ambiental (10438"
634;0003253-58.2015.4.01.3313;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
635;0099584-08.2015.4.01.3700;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
636;0016921-11.2015.4.01.3600;"DIREITO CIVIL (899)  -  Obrigações (7681)  -  Espécies de Contratos (9580)  -  Contratos Bancários (9607"
637;0004331-66.2015.4.01.3902;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
638;0008348-76.2014.4.01.3807;"10444 - Posse"
639;5023343-69.2016.8.13.0024;"DIREITO CIVIL / COISAS / POSSE / ESBULHO / TURBAÇÃO / AMEAÇ"
640;0023130-55.2013.4.01.3700;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
641;0008667-65.2013.4.01.3100;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Propriedade (10448"
642;0000734-66.2012.8.10.0101;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
643;0000734-66.2012.8.10.0101;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Tutela Provisória (9192)  -  Liminar (9196"
644;0000540-06.2011.8.10.0100;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Aquisição (10447"
645;0003158-79.2012.4.01.4300;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
646;0001547-48.2012.4.01.3506;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
647;0011163-50.2012.8.20.7106;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Liquidação / Cumprimento / Execução - Obrigação de Fazer / Não Fazer"
648;0000946-90.2008.4.01.3309;"10445 - Esbulho Turbação Ameaça"
649;0000389-29.2011.8.18.0064;Liminar
650;0069367-48.2011.4.01.3400;"5987 - Suspensão da Exigibilidade"
651;0006668-91.2011.4.01.3506;"10111 - RevogaçãoConcessão de Licença Ambiental"
652;0000028-38.2012.4.01.3700;"10445 - Esbulho Turbação Ameaça"
653;0065706-22.2015.4.01.3400;"10105 - Demarcação"
654;0001483-53.2017.4.01.3315;"10444 - Posse"
655;0009285-77.2004.4.01.3600;"10445 - Esbulho Turbação Ameaça"
656;0001117-47.2008.4.01.3309;"10445 - Esbulho Turbação Ameaça"
657;0018972-03.2007.4.01.3300;"10010 - Ato Lesivo ao Patrimônio Artístico, Estético, Histórico ou Turístico"
658;0001328-49.2009.4.01.3309;"10445 - Esbulho Turbação Ameaça"
659;0000932-09.2008.4.01.3309;"10445 - Esbulho Turbação Ameaça"
660;1004128-81.2020.8.26.0281;"Nomeação de administrador provisório"
661;0800963-51.2020.4.05.8001;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
662;0800963-51.2020.4.05.8001;"DIREITO CIVIL|Obrigações|Espécies de Contratos|Sistema Financeiro da Habitação|Vícios de Construção|"
663;0065706-22.2015.4.01.3400;"10105 - Demarcação"
664;0000884-79.2014.8.10.0100;"Violação aos Princípios Administrativos"
665;0001483-53.2017.4.01.3315;"10444 - Posse"
666;0001598-68.2017.8.16.0067;Intimação
667;0006696-58.2013.4.01.3807;"10445 - Esbulho Turbação Ameaça"
668;0017512-34.2014.4.01.3300;"10105 - Demarcação"
669;0001636-80.2017.8.16.0067;Citação
670;0009285-77.2004.4.01.3600;"10445 - Esbulho Turbação Ameaça"
671;0001117-47.2008.4.01.3309;"10445 - Esbulho Turbação Ameaça"
672;0008221-39.2016.4.01.3300;"10100 - Reintegração de Posse"
673;1031073-44.2020.4.01.3900;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
674;1053264-40.2020.4.01.3300;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
675;1053264-40.2020.4.01.3300;"DIREITO AMBIENTAL (10110)  -  Área de Preservação Permanente (11828"
676;1053264-40.2020.4.01.3300;"DIREITO AMBIENTAL (10110)  -  Revogação/Concessão de Licença Ambiental (10111"
677;1053264-40.2020.4.01.3300;"DIREITO AMBIENTAL (10110)  -  Flora (10113"
678;1053264-40.2020.4.01.3300;"DIREITO AMBIENTAL (10110)  -  Zona Costeira (11827"
679;0806677-92.2020.8.14.0051;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Aquisição (10447"
680;5000821-08.2020.8.13.0671;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
681;0002666-93.2016.4.01.3315;"10088 - Domínio Público"
682;0002940-70.2020.8.26.0281;Associação
683;0005077-60.2012.4.01.3700;"10009 - Inquérito Processo Recurso Administrativo"
684;0005452-06.2017.4.01.3500;"10392 - Convênio"
685;0017463-37.2007.4.01.3300;"10123 - Desapropriação por Interesse Social Comum L 41321962"
686;0018972-03.2007.4.01.3300;"10010 - Ato Lesivo ao Patrimônio Artístico, Estético, Histórico ou Turístico"
687;0003828-41.2016.4.01.3601;"10089 - Bens Públicos"
688;0001992-17.2008.4.01.3309;"10121 - Desapropriação"
689;0001328-49.2009.4.01.3309;"10445 - Esbulho Turbação Ameaça"
690;0006668-91.2011.4.01.3506;"10111 - RevogaçãoConcessão de Licença Ambiental"
691;0000144-29.2017.4.01.4004;"10023 - Multas e demais Sanções"
692;0006856-74.2017.4.01.3700;"7681 - Obrigações"
693;7000780-22.2016.8.22.0016;"DIREITO CIVIL|Obrigações|Espécies de Títulos de Crédito|Cheque|"
694;0000099-84.2014.4.01.3307;"10100 - Reintegração de Posse"
695;0041728-64.2011.4.01.3300;"10445 - Esbulho Turbação Ameaça"
696;0003809-69.2016.4.01.3816;"10455 - Aquisição"
697;0009244-81.2016.4.01.3700;"10014 - Violação aos Princípios Administrativos"
698;0000932-09.2008.4.01.3309;"10445 - Esbulho Turbação Ameaça"
699;0019000-68.2007.4.01.3300;"10445 - Esbulho Turbação Ameaça"
700;0063390-97.2015.4.01.3800;"4964 - Cédula de Crédito Rural"
701;0007337-46.2013.4.01.3807;"10444 - Posse"
702;0001116-62.2008.4.01.3309;"10445 - Esbulho Turbação Ameaça"
703;0001116-62.2008.4.01.3309;"10445 - Esbulho Turbação Ameaça"
704;0001209-55.2017.4.01.3100;"10448 - Propriedade"
705;5001383-61.2020.8.13.0624;"DIREITO PROCESSUAL CIVIL E DO TRABALHO / Objetos de cartas precatórias/de ordem / Citaçã"
706;0000680-47.2012.8.14.0018;"DIREITO CIVIL (899)  -  Pessoas Jurídicas (9981)  -  Associação (4897)  -  Inclusão de associado (9545"
707;0037575-69.2013.4.01.3800;"10445 - Esbulho Turbação Ameaça"
708;0008580-20.2016.4.01.3807;"10444 - Posse"
709;0019000-68.2007.4.01.3300;"10445 - Esbulho Turbação Ameaça"
710;0019530-91.2015.4.01.3300;"10105 - Demarcação"
711;0002373-20.2012.4.01.4300;"9997 - Atos Administrativos"
712;0003351-42.2012.4.01.3703;"10130 - Limitação Administrativa"
713;0000260-65.2017.4.01.3315;"10444 - Posse"
714;0021917-43.2015.4.01.3700;"10445 - Esbulho Turbação Ameaça"
715;0016427-31.2014.4.01.3100;"9992 - Indenização por Dano Moral"
716;0036211-66.2016.4.01.3700;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
717;0004123-47.2013.4.01.3807;"10445 - Esbulho Turbação Ameaça"
718;0010419-52.2012.4.01.3700;"10445 - Esbulho Turbação Ameaça"
719;0004311-51.2010.4.01.3902;"4964 - Cédula de Crédito Rural"
720;0022263-23.2017.4.01.3700;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
721;8000728-52.2020.8.05.0077;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Objetos de cartas precatórias/de ordem - Atos executórios"
722;0013768-87.2017.4.01.3700;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
723;0032163-43.2006.4.01.3400;"9997 - Atos Administrativos"
724;0001120-02.2008.4.01.3309;"10445 - Esbulho Turbação Ameaça"
725;0001120-02.2008.4.01.3309;"10445 - Esbulho Turbação Ameaça"
726;0069367-48.2011.4.01.3400;"5987 - Suspensão da Exigibilidade"
727;0001992-17.2008.4.01.3309;"10121 - Desapropriação"
728;0106862-60.2015.4.01.3700;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
729;0001824-88.2017.4.01.3700;"9580 - Espécies de Contratos"
730;0008426-58.2009.4.01.3900;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
731;0051724-45.2014.4.01.3700;"10089 - Bens Públicos"
732;0800743-90.2020.4.05.8312;"DIREITO CIVIL|Coisas|Posse|Esbulho / Turbação / Ameaça|"
733;0006209-16.2016.8.13.0671;"Liquidação / Cumprimento / Execução"
734;0006209-16.2016.8.13.0671;"Obrigação de Fazer / Não Fazer"
735;0006209-16.2016.8.13.0671;"PROCESSUAL CIVIL"
736;1061158-31.2020.4.01.3700;"DIREITO CIVIL (899)  -  Obrigações (7681)  -  Adimplemento e Extinção (7690"
737;0000139-20.2020.8.17.1030;Calúnia
738;0000139-20.2020.8.17.1030;Injúria
739;0000139-20.2020.8.17.1030;Difamação
740;0008143-31.2012.8.13.0418;Obrigações
741;0008143-31.2012.8.13.0418;"Espécies de Títulos de Crédito"
742;0008143-31.2012.8.13.0418;"Nota Promissória"
743;0008143-31.2012.8.13.0418;Civil
744;2688569-96.2011.8.13.0024;"DIREITO CIVIL / COISAS / POSSE / ESBULHO / TURBAÇÃO / AMEAÇ"
745;0032553-62.2016.8.13.0694;"DIREITO CIVIL / OBRIGAÇÕES / INADIMPLEMENT"
746;0843577-71.2018.8.14.0301;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
747;0843577-71.2018.8.14.0301;"9994 - Indenização por Dano Ambiental"
748;0824887-91.2018.8.14.0301;"10438 - Dano Ambiental"
749;0824887-91.2018.8.14.0301;"DIREITO CIVIL (899)  -  Responsabilidade Civil (10431)  -  Dano Ambiental (10438"
750;0824887-91.2018.8.14.0301;"Dano Ambiental (10438)"
751;0700096-16.2021.8.07.0018;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Liquidação / Cumprimento / Execução (9148)  -  Obrigação de Fazer / Não Faze"
752;1001422-30.2021.4.01.3900;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
753;0800439-03.2021.8.10.0029;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
754;1002090-37.2021.4.01.3500;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
755;0777415-15.2014.8.05.0001;"DIREITO TRIBUTÁRIO - Taxas - Municipais - Taxa de Licenciamento de Estabelecimento"
756;0017613-38.2014.8.18.0140;Citação
757;0017613-38.2014.8.18.0140;"Antecipação de Tutela / Tutela Específica"
758;0017613-38.2014.8.18.0140;"Obrigação de Fazer / Não Fazer"
759;1000207-37.2021.4.01.3506;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
760;5000130-62.2021.8.24.0053;"Indenização por Dano Moral (Direito Civil), Indenização por Dano Moral, Responsabilidade do Fornecedor, DIREITO DO CONSUMIDOR"
761;0279586-17.2011.8.19.0001;Pagamento
762;0279586-17.2011.8.19.0001;"Prestação de Serviços, Direito Civil"
763;1001190-12.2021.4.01.3902;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
764;0800411-64.2021.8.10.0084;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Imissão (10446"
765;0800152-64.2021.8.10.0118;"DIREITO CIVIL (899)  -  Obrigações (7681)  -  Inadimplemento (7691"
766;0800152-64.2021.8.10.0118;"DIREITO CIVIL (899)  -  Obrigações (7681)  -  Espécies de Títulos de Crédito (7717)  -  Duplicata (4972"
767;0007190-44.2018.4.01.3807;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
768;0067169-69.2012.8.05.0001;"Da Poluição / Crimes contra o Meio Ambiente e o Patrimônio Genético / Crimes Previstos na Legislação Extravagante / DIREITO PENAL"
769;0800259-92.2021.8.14.0055;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
770;0005551-16.2021.8.12.0001;Citação
771;1000365-10.2021.4.01.3501;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
772;5097658-71.2021.8.09.0164;"4899 - Pessoas Jurídicas -> Associação -> Assembléia - Lei nº 10.406/02 (Código Civil) %u2013"
773;1500089-83.2021.8.26.0172;"Crimes contra a Flora"
774;1500075-02.2021.8.26.0172;"Crimes contra a Flora"
775;0802401-81.2021.4.05.8000;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Objetos de cartas precatórias/de ordem|Citação|"
776;5000175-61.2021.8.13.0671;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
777;8000500-09.2021.8.05.0250;"DIREITO CIVIL (899)  -  Coisas (10432"
778;1001605-19.2021.4.01.3312;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
779;1001605-19.2021.4.01.3312;"DIREITO CIVIL (899)  -  Obrigações (7681)  -  Adimplemento e Extinção (7690)  -  Pagamento (7703"
780;1500143-49.2021.8.26.0172;"Crimes contra a Flora"
781;0000746-25.2021.8.17.3220;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
782;0000746-25.2021.8.17.3220;"Inscrição / Documentação"
783;0803039-94.2021.8.10.0029;"DIREITO CIVIL (899)  -  Pessoas Jurídicas (9981)  -  Associação (4897"
784;5049382-30.2021.8.13.0024;"DIREITO CIVIL / Pessoas Jurídicas / Associação / Eleiçã"
785;5192145-44.2021.8.09.0031;"10453 - Coisas -> Propriedade -> Retificação de Área de Imóvel - Lei 6015/73"
786;1000176-96.2021.8.26.0172;"Perdas e Danos"
787;1000176-96.2021.8.26.0172;"Prestação de Serviços"
788;1000176-96.2021.8.26.0172;"Fornecimento de Água"
789;1016656-97.2021.8.11.0001;"Crimes contra o Meio Ambiente e o Patrimônio Genético"
790;0000642-11.2021.8.26.0495;Citação
791;5000776-53.2021.8.13.0611;"DIREITO CIVIL / Pessoas Jurídicas / Associação / Assembléi"
792;5000626-94.2021.4.02.5111;"Efeito Suspensivo / Impugnação / Embargos à Execução, Liquidação / Cumprimento / Execução, DIREITO PROCESSUAL CIVIL E DO TRABALHO"
793;5000626-94.2021.4.02.5111;"Infração Administrativa, Atos Administrativos, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
794;1001556-75.2021.4.01.3506;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
795;1001556-75.2021.4.01.3506;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
796;1001553-23.2021.4.01.3506;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Imissão (10446"
797;5000527-47.2021.8.21.0040;"Citação, Objetos de cartas precatórias/de ordem, DIREITO PROCESSUAL CIVIL E DO TRABALHO"
798;5000527-47.2021.8.21.0040;"Atos executórios, Objetos de cartas precatórias/de ordem, DIREITO PROCESSUAL CIVIL E DO TRABALHO"
799;0000114-22.2021.8.21.0040;"Precatória de Citação e Atos Executórios"
800;5000467-90.2021.8.13.0624;"DIREITO CIVIL / Pessoas Jurídicas / Associação / Eleiçã"
801;1001654-60.2021.4.01.3506;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
802;0801326-60.2021.8.10.0037;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
803;0002210-12.2018.8.24.0014;"Responsabilidade da Administração, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
804;1027905-18.2021.4.01.3700;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Imissão (10446"
805;5001321-65.2021.8.24.0014;"Esbulho / Turbação / Ameaça (Direito Civil), Esbulho / Turbação / Ameaça, Posse, Coisas, DIREITO CIVIL"
806;1001883-20.2021.4.01.3506;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
807;0308632-76.2015.8.24.0064;"Extinção da Execução"
808;0308632-76.2015.8.24.0064;"Efeito Suspensivo / Impugnação / Embargos à Execução"
809;0020185-71.2015.8.13.0624;"DIREITO CIVIL / COISAS / POSSE / ESBULHO / TURBAÇÃO / AMEAÇ"
810;0000955-52.2008.4.01.3309;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
811;0021683-68.2013.4.01.3300;"DIREITO CIVIL (899)  -  Responsabilidade Civil (10431)  -  Dano Ambiental (10438"
812;0036211-66.2016.4.01.3700;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
813;0022263-23.2017.4.01.3700;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
814;0013768-87.2017.4.01.3700;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
815;0000923-77.2013.4.01.3501;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Propriedade (10448)  -  Aquisição (10455)  -  Acessão (10456"
816;0000923-77.2013.4.01.3501;"REGISTROS PÚBLICOS (7724"
817;0106862-60.2015.4.01.3700;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
818;0008426-58.2009.4.01.3900;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
819;0000399-90.2012.4.01.3703;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
820;1003108-54.2021.4.01.3901;"DIREITO DO CONSUMIDOR (1156)  -  Responsabilidade do Fornecedor (6220)  -  Rescisão do contrato e devolução do dinheiro (7768"
821;8001179-33.2021.8.05.0242;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Propriedade (10448)  -  Aquisição (10455)  -  Acessão (10456"
822;0833314-72.2021.8.14.0301;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
823;0032553-62.2016.8.13.0694;"DIREITO CIVIL / OBRIGAÇÕES / INADIMPLEMENT"
824;0800382-97.2021.8.14.0085;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Tutela Provisória (9192)  -  Liminar (9196"
825;8002082-76.2021.8.05.0110;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Liquidação / Cumprimento / Execução (9148)  -  Obrigação de Entregar (10670)  -  Busca e Apreensão (10677"
826;8002082-76.2021.8.05.0110;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Tutela Provisória (9192)  -  Liminar (9196"
827;0000895-10.2021.8.16.0161;"Utilização de Bens Públicos"
828;0808005-03.2021.8.10.0029;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Atos Processuais (8893)  -  Intimação / Notificação (10939"
829;0800527-83.2021.8.14.0076;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Propriedade (10448)  -  Divisão e Demarcação (10451"
830;1002504-17.2021.4.01.3506;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
831;1002502-47.2021.4.01.3506;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Propriedade (10448)  -  Divisão e Demarcação (10451"
832;0802598-56.2021.8.10.0048;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
833;0800850-77.2021.8.10.0148;"DIREITO CIVIL (899)  -  Pessoas Jurídicas (9981)  -  Associação (4897)  -  Assembléia (4899"
834;0800643-17.2021.8.18.0064;"Defeito, nulidade ou anulação"
835;0802347-26.2021.8.10.0052;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Objetos de cartas precatórias/de ordem (11781)  -  Intimação (11782"
836;0802361-10.2021.8.10.0052;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Objetos de cartas precatórias/de ordem (11781)  -  Intimação (11782"
837;0802736-23.2021.8.10.0048;"DIREITO DO CONSUMIDOR (1156)  -  Responsabilidade do Fornecedor (6220)  -  Indenização por Dano Material (7780"
838;0802468-75.2021.8.14.0009;"DIREITO CIVIL (899)  -  Fatos Jurídicos (7947)  -  Ato / Negócio Jurídico (4701)  -  Defeito, nulidade ou anulação (4703"
839;0802468-75.2021.8.14.0009;"DIREITO CIVIL (899)  -  Pessoas Jurídicas (9981)  -  Associação (4897)  -  Assembléia (4899"
840;0024637-57.2018.4.01.3900;"DIREITO TRIBUTÁRIO (14)  -  Taxas (5956)  -  Federais (5957)  -  Taxa de Fiscalização Ambiental (5962"
841;0024484-66.2015.8.16.0185;"Dívida Ativa"
842;5000105-20.2013.4.04.7102;"Usucapião Extraordinária, Aquisição, Propriedade, Coisas, DIREITO CIVIL"
843;0801112-58.2021.8.14.0037;"DIREITO PENAL (287)  -  Periclitação da Vida e da Saúde e Rixa (3388"
844;0801112-58.2021.8.14.0037;"DIREITO PENAL (287)  -  Periclitação da Vida e da Saúde e Rixa (3388)  -  Rixa (3393"
845;5096662-34.2021.4.02.5101;"Indenização por Dano Moral, Responsabilidade Civil, Direito Civil"
